	000min_log2FC	000min_p	015min_log2FC	015min_p	030min_log2FC	030min_p	060min_log2FC	060min_p	180min_log2FC	180min_p
 4-Hydroxyproline	-0.880296893	0.050509533	-0.093071097	0.619427521	-0.720983491	0.052250066	-0.949271266	0.057252181	-0.206479111	0.675101203
 D-Fructose	-0.193893154	0.479980824	0.735429273	0.016547035	-0.258580883	0.694176085	-2.611958068	0.014116642	-0.169391727	0.740840539
 D-Mannose	0.339488019	0.2177054	0.557460496	0.059344047	0.259724069	0.528751418	-0.96296232	0.104859125	0.333455646	0.560576473
 Sorbitol 	-0.796140354	5.55E-06	-0.485853106	0.080381599	-0.565396395	0.0961254	-1.431015075	0.027207731	-0.642432566	0.089120809
 Ribitol 	0.192523292	0.266956996	-0.416122422	0.202550594	-0.582814437	0.154562296	-0.686051307	0.17789599	0.363139913	0.435873722
 Myoinositol 	-0.525560336	0.137703313	-0.693214791	0.002791753	-0.827590151	0.020149294	-0.41968632	0.044879773	-0.066491274	0.765564397
 Inositol phosphate	-1.200714208	0.022599606	-1.381212534	0.006907213	-0.890583348	0.047049759	-0.78175275	0.101115086	0.059983502	0.870835201
 Sedoheptulose 7-phosphate 	0.19487292	0.478889771	-0.505572202	0.018131163	-0.126899742	0.646662251	-1.07393396	0.023955453	0.194248193	0.577416888
 alpha-D-Glucosamine 1-phosphate 	-4.465531738	0.002780156	-5.348503448	0.000271138	-5.328013215	0.00110819	-5.605802396	5.45E-05	-4.030540146	0.021492731
 Galactonic acid	-1.370877625	0.031751218	-1.480724977	0.000694188	-0.680827535	0.201916847	-0.429233809	0.256651823	0.913589121	0.133754356
 Cellobiose	-2.162271966	0.026709714	0.159681827	0.885719414	0.702437738	0.225811115	-0.762413447	0.334645822	1.007251878	0.54093873
 L-Sorbose	0.314372834	0.418816266	0.029666038	0.913048848	0.147406958	0.53984828	-0.247340109	0.432539906	0.112805556	0.85925647
 D-Threitol 	-0.40706238	0.005605142	-0.360216551	0.30190403	-0.009849141	0.978178679	-1.629188562	0.11159906	1.092973783	0.127919239
 Threonic acid 	-0.382539465	0.100302793	-0.085277559	0.623637884	0.442228534	0.186100128	0.9351843	0.001644783	2.651792741	0.000352717
 Nonanoic acid 	-1.160383915	0.015543305	0.112569052	0.532275067	-0.757507619	0.018388527	-0.189312453	0.579145282	-0.617657906	0.369937274
 Capric acid 	-0.971317199	0.093005009	0.040104624	0.869743008	-0.347790965	0.370673933	0.445666524	0.256638125	-0.288175159	0.529347595
 Myristic acid 	-1.482086863	0.008354737	-0.988540856	0.012148712	-1.808595364	0.0003867	-1.691037616	0.000101169	-0.534940704	0.351174027
 Palmitoleic acid 	-0.721089739	0.141204151	-0.940926473	0.070714782	-0.484076667	0.140528515	-0.081260859	0.86139993	-0.498509723	0.246022979
 Palmitic acid 	-1.522073719	0.031827997	-2.179240009	2.90E-05	-1.157122279	0.036839858	-1.120896323	0.053263457	0.50133405	0.239738751
