,GFP5-1 Sum,GFP5-2 Sum,GFP9-1 Sum,GFP9-2 Sum,O2.9-1 Sum,O2.9-2 Sum,O2.10-1 Sum
Tnrc18,280.789,272.352,302.211,279.357,313.025,331.744,288.51
Agfg2,17.4139,12.5947,21.1427,23.4784,21.9231,19.358,16.9189
Kif20b,2192.43,1388.29,2313.92,1773.84,3466.11,3794.51,3643.16
Lrrc8a,1045.95,868.621,1074.06,998.136,793.337,811.016,950.964
Mtdh,2625.69,890.917,3061.62,1555.33,2708.4,2870.92,4331.29
Gadl1,38.8775,49.4517,34.1712,47.2438,72.2855,81.7629,46.6996
Vac14,755.51,830.214,789.831,878.624,1003.24,987.465,930.892
,190.565,212.726,183.194,213.751,238.942,244.477,232.992
Aftph,712.47,755.82,776.568,853.053,901.176,884.536,827.742
Ddrgk1,164.323,49.7523,184.068,88.3326,163.037,175.292,199.991
,178.982,193.687,187.344,206.472,175.612,175.754,156.811
Vrk1,2145.49,1789.36,2409.89,2351.71,2478.7,2811.39,2894.97
Tmem167b,179.61,166.151,163.78,191.54,188.169,169.396,162.775
Ubap2l,3798.19,4495.45,4200.12,4021.24,3823.39,4224.61,4111.89
Ubap2l,291.608,285.151,292.619,277.35,305.812,301.739,303.415
Tmem106b,400.151,361.554,334.323,283.987,499.777,498.593,414.858
Pelo,1328.6,1528.7,1455.11,1699.02,1695.39,1683.36,1653.35
C2cd2l,27.5603,22.8338,29.4452,29.0555,27.9043,28.409,37.8181
Sympk,4396.96,4000.18,4315.51,4124.8,4013.43,4134.35,3956.09
Mrps7,1358.67,1492.42,1576.86,1441.64,1663.65,1684.03,1663.44
Flnb,39577.5,35688.4,39533.7,37485.2,26995.4,28464,32439.9
Nrap,105.048,115.694,67.0254,70.749,12.1483,11.6564,21.2434
Trmt61a,527.393,730.203,547.289,599.869,602.592,632.342,804.308
Chn2,79.4053,77.5213,69.8626,79.3933,35.0721,35.2619,53.3858
Ric8b,43.71,41.9778,41.6794,60.7138,29.9793,32.7359,29.7859
Eif4g3,3507.33,3349.48,3668.87,3573.66,2408.8,2468.09,2341.02
Pip4k2b,546.54,568.619,617.71,636.815,574.82,633.172,614.733
Map3k11,63.1663,64.4434,54.2123,53.2767,44.9409,37.0104,39.7725
,156.399,112.659,156.807,138.016,134.707,132.33,149.614
Ttc28,825.013,924.412,877.403,1032,1080.64,1089.66,1097.89
Atg2b,1101.02,1279.31,1203.55,1287.76,1134.17,975.002,1325.51
Acad11,296.633,286.828,363.96,348.158,421.989,388.241,515.839
Fam76b,500.925,547.563,531.981,592.925,525.023,508.859,510.359
Tbc1d5,1598.62,1544.73,1671.06,1627.39,1750.23,1843.7,2131.76
Atp2c1,691.34,569.068,649.229,673.268,704.061,693.077,728.989
Samd4b,252.017,257.098,259.139,271.743,225.897,243.24,217.12
Nucks1,1004.42,884.186,935.687,1304.24,1211.17,1106.23,943.569
Glrx5,384.315,282.202,388.938,413.907,258.799,276.2,316.011
Llgl1,1635.11,1583.1,1707.83,1638.25,1648.46,1668.42,1435.13
Arhgap11a,66.6771,40.3325,59.5714,44.3958,63.3648,74.8742,66.9822
Alkbh8,43.5805,108.715,57.7568,61.7733,92.4378,109.667,99.7895
Ddx10,1248.86,750.464,1314.1,966.976,1006.46,1006.25,2378.06
Bsdc1,394.469,433.52,362.84,418.972,227.038,207.419,162.495
Zfyve20,841.712,939.782,692.704,773.062,887.262,843.945,678.386
Elac2,2453.5,2405.48,2460.69,2526.55,2643.25,2612.23,3078.46
Ddhd2,286.277,297.515,262.648,278.008,362.629,316.878,310.208
Ddhd1,156.758,151.81,162.939,178.942,120.005,115.443,125.268
Dpp8,116.064,121.89,120.653,122.251,134.307,119.15,124.379
Supv3l1,783.892,572.24,925.757,661.266,829.084,835.653,1100.33
Med23,1066.86,1060.02,1304.5,1317.13,1112.1,1077.37,1208.01
Rmnd5a,667.6,770.296,545.11,626.763,598.738,587.381,511.826
Fam160b2,97.1244,107.463,105.811,104.627,116.451,108.465,109.082
Znf598,1560.61,1218.06,1679.65,1434.54,1518.35,1591.85,1944.97
Safb2,483.448,575.662,533.164,579.604,651.438,599.146,533.4
Rbbp8,32.7177,31.6959,19.3227,21.7477,29.9668,25.2485,16.1573
Clspn,175.203,201.276,189.648,196.957,157.759,141.075,124.134
Afap1,2451.88,2110.27,2172.19,1954.39,1298.83,1316.85,1815.22
Pde4dip,804.652,944.696,837.912,985.85,732.134,703.961,821.885
Zc3hc1,1017.12,1158.43,905.781,1045.06,1082.89,997.195,969.56
Pank4,1065.68,1245.49,961.066,1050.7,881.725,862.034,1222.83
Tnc,3703.64,3911.26,2558.14,2782.39,723.394,727.665,385.543
Ofd1,549.711,502.749,569.837,525.306,582.483,554.556,573.172
Topors,235.154,261.603,242.005,261.77,211.466,202.257,172.911
Ece2,576.358,592.114,554.983,554.714,534.87,559.893,449.349
Vangl1,88.2227,71.1919,97.7868,71.1568,88.1973,104.738,117.883
Lrsam1,586.711,728.578,523.727,590.36,543.775,506.502,570.761
Mrps10,362.324,340.674,367.134,356.027,416.089,369.641,408.478
Wdtc1,463.933,592.939,431.106,559.599,360.787,353.123,251.155
Gtf2a2,222.409,258.599,253.13,279.609,261.181,232.809,220.701
Crls1,273.233,222.088,307.975,266.71,239.672,191.985,308.211
Fam206a,629.463,666.797,659.483,768.186,577.273,536.958,517.267
Mrps26,724.499,677.554,786.504,665.786,808.728,785.723,959.14
Rnaseh2b,693.672,501.155,733.273,640.276,744.137,826.02,885.934
Them6,1035.76,513.908,1187.93,747.437,1505.34,1702.77,1088.07
Ttc9c,562.139,656.113,623.296,684.246,778.673,766.928,769.893
Ddx42,2812.36,2973.18,2932.97,3023.36,3078.01,3050.97,3044.09
Ankfy1,3096.77,3346.55,2830.32,3137.71,3227.16,3179.3,2685.88
Grwd1,1131.92,1352.14,1100.5,1229.23,1052.54,999.688,1068.87
Zfyve1,501.964,552.961,496.271,533.528,461.364,478.592,589.636
Gxylt2,28.0483,24.8463,32.6172,36.2495,30.2763,31.4888,25.1978
Chfr,446.504,290.989,317.034,350.394,195.842,184.507,248.009
Ccdc109b,724.771,781.503,867.574,781.829,734.338,747.848,997.624
Ccdc50,126.765,129.744,105.408,121.68,135.659,130.011,60.9649
Mphosph10,1034.44,1155.01,1078.9,1116.65,990.798,1006.39,1258.85
Dlg1,1129.31,1192.72,999.944,1010.18,1523.25,1566.22,1139.33
Ankrd26,18.9637,19.54,17.4674,19.7238,22.7048,24.6798,16.6803
Atpaf1,1141.43,1283.77,1282.28,1319.25,1259.09,1276.89,1080.79
Ireb2,296.951,293.938,315.87,380.313,334.146,336.168,385.179
Mast4,517.848,476.174,567.81,546.308,572.791,553.655,844.777
Ubp1,306.354,377.205,300.019,364.654,347.355,312.011,286.438
Mfn1,484.144,480.804,499.503,480.998,499.951,456.17,715.68
Srgap3,335.504,223.095,325.31,241.179,637.603,672.475,740.719
Mgat4b,118.413,106.451,123.479,131.196,149.933,130.904,116.689
KRT73,546.288,430.546,787.77,1014.76,508.415,501.921,416.019
HRNR,58.9775,70.014,103.673,145.013,88.3028,75.1197,68.7108
Pdk1,531.966,551.67,400.978,383.673,607.528,588.586,481.972
Wdr82,1770.11,2307.02,1920.16,2155.01,1879.87,1923.24,2058.12
Dirc2,396.86,327.422,277.99,289.874,303.331,304.731,230.409
Pddc1,459.808,546.995,524.493,551.753,578.424,564.19,501.445
Gns,949.311,992.016,816.15,897.927,1133.13,1103.56,1041.61
Tufm,2129.48,2473.25,2457.23,2367.97,2391.31,2351.91,2663.97
Zfand1,300.896,324.006,300.038,287.388,318.737,313.423,391.973
Cpped1,649.117,830.108,660.298,712.922,620.931,610.514,371.732
Asnsd1,187.318,188.759,180.181,187.075,204.971,207.597,224.583
Haus4,549.356,501.237,561.597,527.079,524.501,451.579,408.137
Rnf214,386.187,446.406,385.356,428.942,356.326,331.06,357.507
Rnf214,84.4794,73.7034,85.9446,104.483,22.0655,18.8698,12.0402
Pcid2,1969.1,1725.09,2082.01,1844.94,1894.16,1835.63,2130.85
Lpp,3044.26,3621.48,2296.17,2579.79,2878.46,2928.03,1421.79
Kctd3,173.156,176.295,173.983,158.014,127.996,121.151,134.843
Pef1,703.207,890.861,757.025,859.598,621.517,602.212,419.488
Fam64a,222.881,224.545,235.765,209.736,294.96,345.264,213.537
Tnpo1,3554.49,3816.22,3489.86,3759.61,3253.83,3217.11,3134.83
Erlin2,1085.09,791.247,1165.3,924.269,1099.59,1143.38,1609.56
Hnrnpa3,2933.51,3570.87,3478.28,3721.03,3204.56,3176.38,2862.99
Ctdspl2,648.123,326.675,685.666,487.098,619.485,569.373,724.554
Nol12,169.345,188.878,160.249,186.169,175.851,168.865,244.512
Rusc1,15.3068,16.8436,13.1401,16.347,13.7519,12.8696,17.7596
Nelfa,947.231,695.965,1026.5,885.559,958.478,1093.7,1242.07
Psmd11,4647.85,5492.23,4621.05,5090.45,4737.53,5042.55,5207.79
Katnb1,1142.04,1252.59,1067.27,1360.88,1149.95,1241.58,1791.4
Stk17b,67.0625,46.9282,71.6319,62.2913,122.461,133.375,154.763
Rhot1,1950.79,1040.76,2086.07,1416.23,1918.89,2268,3076.18
Txnip,60.6511,56.9214,42.1407,37.4708,54.4827,54.446,87.8984
Efr3a,544.689,490.238,554.119,517.25,888.464,873.001,793.746
Cwf19l2,382.881,382.779,383.5,396.315,444.062,430.364,645.955
Poldip3,3279.07,3104.61,3726.17,3372.66,3393.35,3491.52,3662.14
Commd7,403.124,420.716,370.056,424.953,326.096,300.82,330.497
Krr1,2614.25,1946.54,2413.92,1976.95,2616.11,2676.16,3883.9
,109.775,94.9691,101.787,105.409,99.3349,79.089,108.812
Oxa1l,773.665,691.847,857.494,687.855,800.325,721.279,958.872
Ttc7a,31.2245,27.8422,30.4432,33.4975,73.5105,83.7932,57.4772
Limd2,770.147,843.248,762.306,885.281,797.171,767.476,759.756
Enoph1,1034.85,1330.34,1071.73,1221.81,1255.87,1216.54,1081.85
Coq4,147.141,136.061,174.916,127.509,172.181,182.297,153.046
Htatsf1,2714.76,2924.79,2650.55,2968.88,3847.9,3553.72,2905.45
Zadh2,664.618,818.736,685.734,735.495,1272.08,1365.7,916.79
Cpt1c,59.025,59.1721,59.4993,48.9472,86.3151,89.7634,107.63
Coa6,17.5045,20.1348,15.0642,12.9052,21.3734,16.2682,19.9992
Eif4b,4183.17,5063.17,4246.03,4707.72,4243.05,4110,4061.01
Atg4b,86.2783,112.519,100.637,105.643,132.29,114.966,90.871
Wdr92,1113.78,1258.08,1177.14,1331.23,1250.68,1156.46,1322.79
Elmod2,250.742,173.987,261.497,214.693,278.22,287.147,324.364
Pan2,248.763,214.234,237.64,221.071,221.428,204.784,206.427
Samm50,1771.71,1089.3,1517.95,1089.69,2067.7,2205.68,2175.04
Slc7a6,414.963,400.2,390.048,392.723,421.532,405.89,372.308
Slc25a40,25.9767,26.8233,29.2701,23.6615,29.5335,40.1739,46.7286
Vipas39,381.488,341.424,413.804,369.048,398.959,418.056,542.071
Pomt2,455.658,157.253,496.615,227.796,620.27,703.123,742.378
Efcab14,198.307,185.985,219.644,230.537,150.772,166.16,109.747
Aars,7841.33,8168.7,8496.72,8661.17,9346.38,9394.75,12175.6
Lrrc8d,104.191,74.9967,143.077,108.729,67.1133,72.1529,113.04
Arl15,23.5861,21.0274,24.5662,23.0556,18.3254,23.0607,28.2971
Ublcp1,1102.7,1138.79,1046.13,1209.17,1464.79,1472.14,1413.5
Mak16,579.599,658.062,569.296,601.833,413.498,428.271,491.524
Bola2,1273.81,1405.86,1156.19,1382.97,1444.58,1335.43,1297.28
Zkscan1,272.418,309.057,294.89,283.565,246.362,254.413,346.447
Cept1,420.372,137.492,490.589,232.364,453.196,488.77,811.132
Ostm1,34.8568,29.8882,35.351,26.9238,15.5704,23.378,16.6125
Gpt2,1062.03,1108.47,1499.58,1487.62,1310.16,1273.28,2025.97
Micall1,714.466,925.617,621.186,761.022,522.818,419.789,560.731
Smndc1,526.814,553.397,588.018,570.863,556.279,544.314,538.949
Ccny,150.31,144.083,167.606,190.023,199.603,191.57,142.237
Nars2,179.367,186.696,192.54,157.897,210.419,210.274,280.815
Tti2,37.2789,42.3906,41.8298,35.8069,39.62,45.0363,49.2124
Mief1,485.803,416.758,416.393,388.927,387.938,388.351,555.942
Fto,800.133,936.427,819.209,919.654,973.811,936.739,831.775
Nabp1,70.2356,73.3994,65.9197,66.437,63.6815,64.3474,75.3429
,245.574,271.482,253.288,268.587,252.063,244.026,340.859
Fam210a,917.014,906.685,940.923,883.27,1286.31,1248.25,987.652
Fam168a,137.482,131.323,119.929,129.433,130.037,121.737,94.0683
Cdc23,2702.08,2736.25,2750.71,2812.86,2024.97,2144.59,1521.88
Tor4a,20.3176,11.6683,17.8346,11.4288,37.5513,29.6742,32.0019
Pck2,1585.62,1914.51,2053.84,2069.83,2923.81,2897.93,4209.41
Arl6ip6,197.856,114.297,218.006,137.998,254.626,263.182,345.468
Cnot10,2366.51,1926.91,2384.75,2112.3,2283.82,2299.49,2651.91
Fbxl2,172.223,139.025,202.929,183.8,146.489,118.525,132.703
Tm9sf4,539.163,492.537,524.647,515.892,420.421,451.382,502.214
Mfsd8,8.06271,11.767,13.2257,11.8468,11.6593,11.848,12.5728
Wasf2,2146.39,2425.78,2039.45,2246.5,1833.15,1731.62,1554.17
Coro2b,659.996,701.267,615.614,625.208,365.066,413.363,246.444
Sec22a,54.2929,38.2929,45.936,34.0008,60.9459,64.9756,50.4898
Ubap1,1654.3,1872.13,1347.16,1515.91,949.322,906.696,584.065
Cox14,187.489,162.292,230.306,176.366,268.142,263.377,287.708
Thnsl1,589.843,343.228,565.245,418.725,580.456,589.539,673.277
Wdr48,1803.67,2036.73,1765.12,1930.32,1642.46,1677.74,1763.32
Tiprl,863.06,1013.4,820.631,834.436,798.28,875.912,823.48
Slc25a12,2278.23,2093.88,2510.29,1925.02,2901.18,3000.12,4421.43
Gopc,1558.93,1887.68,1591.71,1742.32,1524.41,1520.71,1241.68
F13a1,358.677,249.132,83.4303,373.569,150.217,160.357,274.436
Ehd2,2939.14,2875.64,2939.73,2831.94,4885.78,4966.91,3343.43
Sephs1,1389.51,1701.33,1432.41,1566.5,1477.88,1351.59,1303.24
Nup107,2916.03,3211.66,2950.92,3227.96,2938.7,2621.47,2706.82
Rnf41,123.079,134.962,109.859,121.503,112.573,114.601,136.056
Ano10,518.965,174.573,558.679,266.594,675.31,790.161,1063.85
,1424.38,1619.28,1364.1,1428.84,2331.34,2450.27,2513.4
Echs1,660.368,823.33,750.029,760.961,1096.54,1069.38,1472.83
Rcn3,79.402,77.1173,7.93073,4.2548,244.909,232.712,112.446
Ino80c,132.324,127.349,137.069,124.174,104.621,114.148,122.011
Dtd2,813.312,810.996,825.513,794.65,867.783,882.734,1277.24
Wdr3,2693.98,1848.6,2951.47,2418.26,2369.36,2413.94,3742.86
Clic6,306.669,341.045,288.762,354.87,224.194,231.983,232.902
Dcakd,633.549,532.448,759.611,611.199,614.806,658.738,968.063
Rhbdd1,186.163,39.8307,233.402,99.9093,271.172,291.674,710.214
Fut11,376.093,420.76,371.332,411.197,351.466,328.971,568.671
Ptbp3,1040.19,1190.72,1129.88,1287.45,1096.39,1026.68,887.209
Pcmtd2,219.962,231.509,196.952,231.729,205.376,213.924,296.301
Prr11,61.3714,64.5189,58.3186,56.1874,62.3829,55.035,59.9479
Gemin8,49.3832,62.95,58.2898,69.5573,61.8961,57.2771,64.8092
,631.74,726.923,653.062,667.315,741.614,711.014,935.935
Pgs1,200.166,199.36,183.79,201.083,231.829,231.92,292.805
Nrd1,6203.07,7144.97,6614.09,6991.33,5606.54,5459.5,3878.97
,1410.85,1632.95,1391.73,1527.86,1480.64,1455.36,975.977
Cggbp1,364.255,262.462,329.293,275.249,323.919,310.006,248.413
Elovl5,96.482,77.587,107.252,82.497,95.1201,112.788,106.97
Tbl1xr1,1095.32,1235.73,1135.51,1227.47,1332.75,1200.32,1042.73
Serinc5,168.295,140.882,124.016,138.964,35.4625,46.0791,30.8412
Slu7,1083.94,1211.39,1170.12,1222.71,1145.25,1066.14,1151.67
Ercc6l,2654.2,2556.11,2673.78,2605.6,3466.97,3460.3,2544.9
Tbc1d10b,711.823,594.884,758.832,648.902,898.418,1123.16,1044.71
Gprc5a,508.959,506.968,319.613,340.349,235.326,245.581,243.992
Elmo2,2414.64,1960.67,2550.86,2352.33,2595.55,2561.67,2883.81
Psmf1,1181.26,1449.4,1117.63,1215.8,1042.43,1035.34,905.038
Ppm1l,120.516,88.8583,155.935,120.064,124.954,121.095,152.027
Txlng,29.9307,36.1567,23.7109,33.66,23.9645,25.0592,24.3258
Ganab,4705.18,4458.12,4848.92,4668.74,6061.73,5813.17,5721.13
Rbm45,137.036,171.619,153.571,187.674,142.659,147.347,115.719
,102.834,99.7245,82.2749,91.68,82.9608,76.6843,105.466
,18.0938,23.8044,23.3535,25.2027,23.5154,25.7746,20.3864
Rbm22,1087.52,1276.57,1166.56,1276.32,1302.5,1309.66,1004.44
Armcx3,977.728,649.817,886.102,714.334,583.025,509.85,750.977
B3galtl,514.694,483.212,482.905,479.48,570.134,525.772,400.03
Oscp1,278.399,210.446,281.264,259.512,340.915,362.893,252.449
Haus1,396.639,501.064,419.246,457.416,436.945,421.72,271.053
Cdca8,912.653,736.911,837.674,715.576,676.354,740.366,454.215
Noc4l,842.054,812.813,920.1,872.778,850.431,873.834,1327.65
Ano1,326.339,345.468,337.566,369.674,347.469,335.684,320.436
Znf592,338.612,389.588,321.526,518.688,312.379,531.793,717.8
Cep128,327.041,304.102,341.665,316.929,322.145,344.49,378.168
Cdkn2aip,1168.89,1009.2,1207.29,1163.53,1138.17,1159.82,1252.53
Mia3,4146.53,2051.76,4592.73,2777.44,4810.2,4931.8,6444.65
Fbxw8,707.991,790.476,770.975,854.576,615.216,601.128,658.293
Frmd4a,598.833,390.72,598.253,475.355,416.789,433.057,466.18
Cd99l2,305.154,295.656,294.65,372.689,382.612,406.774,254.153
Znf787,159.207,190.993,152.295,166.851,165.981,176.308,167.079
Fbxo28,247.803,171.204,265.263,235.762,217.342,210.66,289.03
Comtd1,99.2694,90.5882,88.7267,100.81,97.9878,116.597,214.235
Sap130,525.889,608.787,536.707,566.584,600.259,607.428,482.011
Iars2,1853.94,2164.76,1960.43,1824.28,2857.14,3010.58,3517.95
Rufy1,863.181,1013.41,965.542,1108.29,1104.47,1089.68,972.245
Dock9,30.2313,29.2431,35.1581,28.1554,36.9345,29.6577,34.9117
Dars2,858.408,944.271,913.832,894.609,1367.31,1218.21,1314.7
Cstf2,1270.98,1463.14,1302.7,1502.63,1186.32,1133.33,1100.18
Ranbp6,450.023,619.846,398.939,567.195,539.569,479.581,361.986
Prune,103.915,137.777,78.7507,98.6244,74.9457,78.4527,105.547
Chtf18,1372.11,1086.28,1169.49,1220.96,1370.8,1524.8,1401.44
Cox15,988.756,967.637,1090.92,927.101,1346.63,1308.25,1406.31
Zc3h14,1352.24,1446.9,1364.03,1397.9,1537.5,1423.04,1443.93
Marf1,157.602,94.5064,144.389,124.996,183.373,192.247,166.089
Tdp1,171.252,198.856,172.178,205.381,195.301,214.282,302.373
Nagpa,7.50197,10.2432,7.84701,7.00358,14.763,17.0751,8.0385
Mfsd11,220.232,186.105,182.298,154.727,135.259,121.329,166.153
Ap5m1,35.4752,37.3544,34.3826,40.1859,34.7598,32.078,46.9458
Chdh,366.302,107.971,447.37,163.147,11.3154,14.6632,8.37442
Nup93,4845.94,5075.15,5074.09,5086.53,4588.18,4527.31,4378.51
Znf771,453.716,521.783,488.651,558.7,699.539,629.193,581.916
Chmp2b,508.826,582.268,615.645,603.855,857.989,529.871,348.208
Zc2hc1a,1524.53,1469.74,1305.86,1225.27,1632.98,1600.47,1840.7
Smarcal1,1183.51,844.722,1229.74,934.528,1227.18,1299.2,1279.39
Fbxo30,1281.24,1170.82,1247.21,1331.54,1112.06,1114.79,1103.53
R3hcc1l,116.556,98.4805,154.446,103.462,130.673,134.692,141.604
Slc30a6,464.53,356.455,466.437,452.812,594.32,599.22,757.02
Tyw1,194.41,74.8241,224.489,137.278,192.902,235.297,354.276
Usp1,196.687,154.635,200.13,155.809,196.108,215.975,173.144
Csgalnact1,310.586,262.43,546.579,486.233,555.174,592.308,507.498
Sun2,2275.98,678.046,2730.29,1268.34,3736.01,4117.66,4317.66
Mtbp,147.503,147.749,149.884,145.941,138.982,153.699,168.066
Sgta,2414.45,3006.31,2761.45,3252.43,2399.12,2326.48,2171.54
Tspan9,221.562,218.512,155.785,192.526,156.86,175.192,157.636
Nol11,1613.69,1631.75,1619.76,1680.94,1424.48,1409.69,1941.48
Eif2a,3438.27,3266.91,3852.03,3537.86,3207.18,3263.59,4150.46
Psmd5,1886.46,2168.67,2081.41,2287.97,1874.19,1852.07,2389
Mrps35,1142.55,1190.76,1142.51,1121.4,1609.41,1695.19,1420.08
Fam73b,33.0919,22.1907,39.2554,32.8797,35.0496,37.4506,53.7765
Tmem11,489.136,451.741,485.911,479.167,469.227,503.581,639.508
Hspbap1,259.74,307.123,278.012,314.641,237.538,249.539,223.876
Olfml3,32.0795,32.2684,86.5783,70.2626,406.209,420.197,152.316
Csnk1a1,1479.34,1075.84,1678.6,1342.22,1635.19,1582.81,1541.37
Ahsa1,2086.67,2403.14,2149.4,2406.6,2146.18,1993.67,2350.5
Rcc2,4737.58,5261.59,6385.92,7039.98,4657.65,4470.28,3754.89
Mrps27,1256.48,1487.68,1381.99,1359.97,1491.16,1414.57,1551.35
Elp6,204.417,218.234,206.242,241.565,228.805,214.103,201.876
Ipo5,5767.72,6202.75,5353.63,5704.45,4856.98,4796.1,5700.15
Pi4kb,378.149,327.408,345.984,315.847,289.556,292.248,362.835
Cyp20a1,1447.91,558.877,1527.26,783.831,1881,2095.04,2788.61
Ift74,808.016,870.595,978.453,1052.44,1082.32,1121.33,909.091
Polrmt,933.359,735.747,1156.6,882.136,1104.69,1139,1464.66
Ptk7,851.608,824.537,1090.98,1180.54,886.86,869.528,1297.82
Mapkap1,502.643,352.264,541.55,440.849,525.593,561.26,751.48
Tnrc6b,2958.69,2798.66,2446.19,2680.86,2478.74,2455.77,2233.6
Tubgcp5,149.145,165.093,142.062,158.645,168.497,143.418,141.466
Ppp1r37,450.953,498.556,405.522,481.345,426.035,403.366,333.928
Kiaa0020,1534.61,936.577,1696.95,1274.59,1469.95,1498.37,2008.56
Gcfc2,220.059,253.551,99.4525,113.641,261.847,232.052,242.732
Thoc5,1908.55,1183.91,2129.3,1766.48,2251,2333.07,2681.86
Haus7,2076.62,2249.36,2170.74,2369.49,2657.27,2585.58,1783.58
Tmem87b,246.548,265.143,232.042,248.572,241.086,221.037,208.93
Zcchc4,306.581,262.352,339.818,323.922,263.621,247.773,367.974
Baiap2,2430.6,2771.47,2852.04,3028.4,3653.73,3729.78,2233.74
Smg1,1392.26,1316.83,1280.62,1332.74,1261.11,1182.43,1169.74
Pdhx,872.215,995.323,953.321,902.017,1064.12,1005.91,1305.12
Usp54,113.833,80.137,112.025,100.494,85.6908,113.159,125.46
Unk,351.789,386.541,394.916,411.267,471.416,444.41,419.772
Eea1,5991.2,6980.1,6207.8,6814.35,8388.17,8048.78,8625.42
Gtf3c2,938.829,873.465,1052.68,965.309,840.905,855.099,1104.82
Arhgap22,1139.26,1267.91,1398.06,1500.35,1005.06,968.1,991.405
Mblac2,64.6882,65.821,75.2726,77.4303,93.9938,77.595,79.3135
,167.121,223.077,171.96,230.989,186.146,169.582,150.096
Srsf7,1107.92,1241.6,1174.53,1318.7,1153.66,1066.3,991.342
Dopey1,120.335,104.377,96.7482,104.853,107.013,111.909,108.722
L3mbtl3,18.7175,19.7521,18.5223,19.7562,18.5433,16.996,19.8467
Nceh1,445.123,175.258,570.006,274.131,531.246,555.261,917.553
Phf20,44.0285,40.4053,42.9672,30.7837,59.1836,60.5013,49.3449
Hirip3,1349.13,1563.31,1457.28,1660.55,1573.24,1519.22,952.009
Dse,317.748,302.454,430.941,414.207,484.326,490.899,409.298
Rps6kc1,780.577,867.445,708.932,809.204,665.583,614.648,669.186
Lss,346.597,367.157,405.202,425.426,435.88,426.013,285.471
Hif1an,529.326,614.345,478.188,541.139,512.577,485.973,427.713
Slc35c1,182.883,139.61,165.279,156.314,145.651,142.566,202.391
Tarsl2,1560.31,1227.3,1689.05,1578.73,2111.49,2171.85,2468.01
Hps6,249.08,277.954,247.268,315.557,267.296,295.504,247.457
Prpf18,100.567,107.266,122.712,111.029,80.4695,94.5561,113.749
Tmem214,2222.9,551.236,2615.1,1061.33,2294.09,2610.01,3744.47
Hspa13,1451.1,1276.73,1540.84,1322.6,1488.22,1454.62,1187.89
Arid5b,70.5487,71.5737,76.1662,79.3623,99.6034,100.627,87.9919
Tbck,213.418,185.083,179.117,163.697,165.957,155.703,173.432
Cnksr3,67.3783,62.2406,77.0353,83.615,46.3265,34.1502,39.3701
Npat,612.255,658.15,595.743,669.658,544.711,560.085,571.778
Srp68,2309.93,1722.07,2434.95,2059,2395.43,2501.6,2822.48
Emsy,193.637,198.192,190.699,189.361,242,223.14,212.5
Eif4e2,250.123,279.634,260.674,259.523,251.246,291.128,278.809
Nop9,733.045,440.545,887.487,630.328,574.387,672.459,1022.25
Slc25a24,1863.13,2243.51,2066.3,1800.55,1663.99,1961.84,2323.8
Dlat,2228.13,2550.87,2283.61,2260.86,3611.31,3512.69,3930.92
Slc25a32,348.246,279.394,350.481,279.211,465.686,457.689,829.506
Fbxo38,670.542,516.623,687.925,606.906,859.806,919.676,821.219
Gga3,324.957,351.548,339.209,352.87,275.863,275.135,256.225
Gen1,100.656,73.3186,103.751,83.2772,98.0725,107.721,116.003
Lars,5680.19,4692.69,6372.46,5410.47,8172.32,8676.04,8910.32
Eif1ax,2059.04,2206.22,2140.1,2255.44,2424.71,2336.77,2050.04
Cep85,1044.5,1128.11,871.24,1002.81,781.28,797.559,529.089
Mettl2,341.875,321.471,344.84,292.988,379.353,395.933,416.37
Ckap4,4785.02,2034.62,6345.38,3379.64,6022.99,6612.49,8324.25
Mical2,2664.7,968.835,2958.16,1551.43,1888.62,2041.74,1772.79
Acbd3,1806.81,1928.12,1711.48,1787.23,1696.4,1701.6,1560.01
Gtf3c4,1526.23,1629.95,1565.29,1749.9,1263.78,1257.63,1440.79
Hadha,5375.63,6058.33,5902.03,5346.41,5961.33,6002.98,6523.02
Coq3,142.345,172.277,168.122,165.162,190.358,171.773,121.246
Tsen34,496.777,562.694,543.969,592.532,658.369,631.478,593.355
Vrk2,231.397,54.7063,250.555,117.148,245.719,286.261,449.688
Arhgap28,44.4894,33.749,41.1799,32.1501,25.084,23.279,26.0126
Zbtb33,406.841,251.692,292.571,359.19,341.849,284.181,193.496
Slc17a5,70.1115,62.3464,66.7672,59.5212,83.1081,71.2946,93.9072
Wdr35,2029.6,1948.01,1795.68,1985.14,2241.98,2187.62,2003.2
Qsox1,57.6045,71.962,66.1044,67.881,73.8691,76.7646,74.0988
Fam115a,383.841,319.169,247.425,209.194,464.634,465.733,466.575
Derl2,170.371,49.6915,190.91,96.9749,197.679,199.895,254.311
Armc6,2779.79,3174.96,2496.37,2813.64,2640.69,2484.49,2403.49
Kbtbd11,85.8413,105.748,252.483,308.462,170.84,149.678,534.619
Ncs1,2209.41,2441.91,2289,2298.78,2160.84,2029.97,1892.27
Iqcb1,347.445,227.365,391.196,307.941,395.924,472.229,384.576
Fam92a1,127.454,141.971,137.232,172.938,115.966,105.646,65.6764
Sfr1,2098.99,2429.09,2005.77,2229.15,1616.18,1521.95,1164.89
Nars,4337.94,3792.32,4017.42,4336.53,5387.87,5519.52,5433.03
Metap1,2163.26,2539.74,2191.43,2426.12,2102.59,1945.36,1939.57
