,GFP5-1 Sum,GFP5-2 Sum,GFP9-1 Sum,GFP9-2 Sum,O2.9-1 Sum,O2.9-2 Sum,O2.10-1 Sum
Tmf1,1371.85,1383.21,1253.06,1271.83,999.996,964.916,991.009
Mndal,572.898,414.014,550.169,474.467,876.265,816.833,698.517
Samd1,247.176,259.59,268.986,234.218,246.752,285.715,321.153
Safb,3779.05,4117.01,3838.89,4048.42,3722.61,3437.99,3347.27
Mthfd2l,322.381,354.811,324.836,307.679,368.771,346.585,372.439
Ccdc6,1816.6,2247.51,1957.76,2332.97,1530.23,1441.75,1315.57
Ccdc8,212.377,208.314,159.55,167.194,52.5023,46.0377,55.7771
Rbm24,34.8486,34.257,29.2558,26.2549,8.35035,8.94636,21.0708
Ptrhd1,121.957,140.094,154.521,146.846,105.269,112.35,95.0029
Gls,3761.4,4274.07,3848.4,3844.81,3280.67,3141.66,3352.32
Gls,355.789,425.605,338.866,311.062,327.911,353.774,290.96
Piezo1,1893.19,1219.94,1535.11,1223.87,1507.21,1831.96,2154.27
Talpid3,103.669,115.506,120.392,116.762,110.95,112.607,100.217
Ccdc175,287.896,275.657,276.074,291.339,355.043,335.523,299.455
Ttc17,245.924,278.063,254.701,299.425,299.77,329.298,269.344
Ascc3,3952.93,3597.65,4317.32,4218.92,4591.42,4624.28,4339.26
Chd2,1360.33,770.748,1435.41,1022.78,1160.33,1198.96,1576.34
Irf2bp2,1039.35,1124.82,1099.59,1209.75,1319.23,1216.91,1233.34
Ccdc171,95.4983,77.3057,83.5211,87.2014,87.6199,90.565,96.1646
Rnf213,5832.08,5109.18,4239.23,3988.27,3648.07,3605.2,3631.96
Setd2,1124.44,1092.52,1112.92,1148.3,1259.52,1175.77,1209.42
Kif23,3371.19,3433.19,2794.45,2388.71,3000.76,3283.76,2547.02
Myo1e,3240.83,2665.6,3135.73,2872.26,2726.6,2634.19,2798.66
Ccdc85c,35.8052,33.0424,36.0744,43.6182,33.8115,37.0372,39.9023
Rabl2,562.155,599.626,575.685,604.797,471.083,426.338,455.44
Helz2,569.47,540.676,524.397,534.609,449.497,439.242,445.281
Tpr,12492.2,13953,13141.8,14328.2,12418.3,11981.7,11557.9
Tspan15,243.318,220.874,236.236,227.516,160.208,171.489,147.757
Farp1,2190.9,1813.08,2100.41,1991.83,2419.12,2165.62,2817.9
Myo10,2636.63,2153.1,2394.52,2121.11,2212.33,2158.06,3091.25
Nccrp1,7.90384,7.46217,18.0038,23.6069,12.435,13.4756,18.472
Arfgef1,2245.93,2391.63,2109.21,2245.71,2086.26,2024.01,2224.77
Sclt1,225.349,261.679,236.164,278.713,275.134,255.908,177.387
Trip12,3945.84,2381.21,4554.47,3376.61,4366.72,4597.55,5799.4
Ank3,474.27,522.32,845.641,795.183,558.221,577.561,510.728
Hk2,4491.28,3286.05,3412.8,2747.19,3447.54,3418.28,3988.24
Capn2,4958.36,5382.16,4622.35,4926.2,3696.24,3670.51,3500.04
S1pr1,288.35,333.402,300.999,342.518,410.579,189.167,225.63
Cacna2d1,1145.11,1023.68,1255.89,1202.34,1276.39,1261.39,1864.59
Angpt1,14.8631,21.2203,24.523,27.1449,48.4854,50.9087,30.8402
Bin1,11000.3,13083.6,5920.82,6559.63,2691.02,2721.27,1386.38
Sec22b,808.562,380.846,912.49,537.177,899.433,979.838,1197.71
Kmt2b,114.842,96.7188,121.69,114.292,150.951,136.116,137.301
Dpysl2,7338.42,8392.07,6906.64,7390.05,7141.28,7201.52,4389.04
Lgals9,382.658,361.621,154.067,170.608,174.222,187.534,200.418
