 	oxsm_fc	oxsm_bh	
S1pr1	-0.616320744963473	0.41893844516828266	
Cacna2d1	-0.07180293232256046	0.07310277334781967	
Angpt1	0.5696170596412551	0.004013142975791115	
Bin1	-2.4271132659396795	0.005402512140855023	
Sec22b	0.22148318395789496	0.03139014165875941	
Kmt2b	-0.07670978654930247	0.0019456453634608746	
Dpysl2	-0.680776370408188	0.12243481304254901	
Lgals9	-0.9271111341667794	0.22212561963524094	
Emd	0.6721627548514044	0.00617651318358241	
Esrra	-0.3095376179860252	0.5036158080818984	
Gtpbp1	0.3078673250062123	0.003925091291406288	
Alyref	-0.3412930538686771	0.3023889427684994	
Pten	-0.00279616396158729	0.000036118570297969306	
Stxbp1	-0.4680794007006792	0.5399599483264153	
Mknk1	-0.8868910205360475	0.00008286627291603042	
Mlx	-0.6358401116609645	0.08079125223843243	
Map3k4	-0.8091848463764897	5.902351154940594e-7	
Metap2	-0.5360678125856173	0.35595896375404323	
Bcl7c	-0.5232825512301345	0.16698430731436428	
Sema3a	-0.1802263329510436	0.07452648036470742	
Capn5	0.5114770561480491	0.0000018194842854143365	
Prdx6	-0.2815650815211204	0.09155386900524663	
Akap1	0.25824204029251147	0.009912941193116946	
Bak1	-0.47006055559603543	0.7411598968719154	
Casp12	0.9506264479641882	3.0738585996071938e-9	
Casp6	-0.5973851029740542	0.16581221687002431	
Ampd3	0.17807738971565357	0.00001899164015674697	
Polr2j	-0.6183983666351734	0.10809977875576199	
Matn2	0.3469738803105206	0.00028562404883942247	
Dld	-0.23230835786487064	0.19788193450000371	
Nfil3	-0.7895510037060397	0.005459450517244212	
Tcof1	-0.19154397491481884	0.19324868627710626	
Clock	-0.7773885589152072	0.018189753353194973	
Dctn1	-0.4327997295555028	0.8892372168683945	
Mnt	-1.0913838086962149	0.06525796126233441	
Ebf3	-0.4465517891635139	0.8636189194084408	
Prkcsh	-0.1484520338423169	0.00007025847555566721	
Eef2k	-0.32277588761956777	0.15572935592908183	
Serpinb8	0.29654968911723045	0.000008945983014792223	
Prdx4	-0.17600819628566922	0.1145078895449639	
Diaph1	-0.42860140444323586	0.9460591357808942	
Eftud2	-0.5000714061453064	0.028814644340510513	
Ercc2	-0.861756681795348	0.007894186065984434	
Galnt4	-0.1826277377114272	0.006380815966332896	
Trove2	-0.6179038067283378	0.05861068073161476	
Ell	-0.20804948891008454	0.00013232587432065378	
Bub1	-0.6345233147648764	0.07165491367464384	
Pik3r2	-0.7668323189137817	0.009730576842433641	
Mapk12	-0.9066856722155182	0.00020118144355098282	
Galnt1	-0.8960702185452482	0.029200971488100805	
Aip	-0.32364389611102207	0.4500289281961228	
Flot1	-0.9021263923319628	0.02171776197247213	
Numbl	-0.3711865544778735	0.4612263793324671	
Cyth3	-0.3265844649104568	0.4350738965787432	
Tuft1	-1.6781292555543426	0.00007335927256025463	
Sdcbp	-1.4067718334767136	0.0005177045065025416	
Atox1	-0.20355015911380955	0.024330950885488426	
Degs1	0.3063244729638486	0.041994314690548866	
Pex5	-0.2700093142345555	0.41563446784348157	
Sh2b3	-0.648931327263274	0.2946360676273532	
