 	oxsm_fc	oxsm_bh	
GLUCONATE	0.49991455883335656	0.04515378446330072	
BUTANOATE	0.11443968048856659	0.37634523511719464	
FOLATE	-0.07496205768122212	0.8563463747819526	
Butyrylcarnitine	0.6196756350091437	0.005594532527146306	
Hydroxyphenyllactic acid	0.5823747062320004	0.02564382106256262	
HYDROXYPHENYLLACTATE	0.5502899230663767	0.03357595957634183	
ALLANTOIN	-0.2680942796426034	0.289539257625516	
PYRUVATE	1.78941737670006	0.000002642582803712565	
URIDINE DIPHOSPHATE GLUCOSE	-0.41557793571179386	0.4647890117095135	
PYROGLUTAMATE	1.0282677250228052	0.10899093200025406	
ISOLEUCINE	-0.09061588046667156	0.6202735271601499	
SALSOLINOL-1	-0.392332008923681	0.4956702940483183	
KYNURENINE	0.38000592423921076	0.4542475876090115	
LYSINE	0.035324833260544114	0.8671218467141406	
PHENYLALANINE	-0.3415235749625993	0.14544484404534438	
2-METHYLMALEATE	-0.15597355605971658	0.34284759267311027	
ETHYLMALONATE	-0.53962319294514	0.02084406671066674	
PYRIDOXINE-1	0.16092018818110262	0.3959419347711908	
THREONINE	-0.15114152576289663	0.2752072754556425	
LEUCINE	-0.12819560385650963	0.7947131071764637	
GLYCOCHENODEOXYCHOLATE	-0.12139510751465361	0.6922063691005935	
PYRIDOXINE-2	0.16092018818110262	0.3959419347711908	
N-ACETYLNEURAMINATE	-0.29567070500870996	0.04562262322719524	
GLUTAMATE	-0.005414835859844892	0.9870451172559753	
N-METHYLASPARTATE	-0.00540295737826613	0.9907132897714127	
OXOPROLINE	0.5472372891710443	0.30551100918562246	
TRYPTOPHAN	-0.3621425508467186	0.17810319486670764	
HIPPURATE	-0.15836559566858915	0.6626698679228347	
XANTHINE-2	-0.2966486864390044	0.3648907887678684	
3-METHYL-2-OXOVALERATE	0.16757024905207946	0.5401115605830291	
ITACONATE	0.06636880961571476	0.7507006509574562	
N,N-DIMETHYLARGININE	0.6966856305664304	0.04052331643742166	
KETOLEUCINE	0.14755718841385793	0.5811322242447277	
2-KETOHEXANOIC	0.38544454563729513	0.22958799726551632	
CREATININE	-0.49430077780349696	0.002124557246312133	
PANTOTHENATE	-0.5506563786838359	0.13339066442637468	
METHIONINE-1	-0.28876123095216305	0.0866294813526061	
METHIONINE-2	-0.5827716194483459	0.10999377471375212	
TYROSINE	-0.2475534190447854	0.12971780616354056	
GLUTAMINE	-0.7729983254109627	0.004859592191614877	
BETAINE	-0.3313528411340245	0.0019825758525356773	
GLUTARYLCARNITINE	-0.3649817831465935	0.5373363358566483	
