 	mecr_fc	mecr_bh	
Odf2	0.6192782102694422	0.022993125160854774	
Mtr	0.21546124267041125	0.039277277958707175	
Exoc6b	-0.1946762273969233	0.05606376773503431	
Mipep	0.13820555246263047	0.017341361774281142	
Phrf1	0.46884752158675724	6.026680355862394e-8	
	-0.1985574848546157	0.00048280402346454143	
Sac3d1	0.027681627110634682	0.6884132105880767	
Rabgap1l	-0.11017799675854899	0.1534203681542665	
Dennd4c	0.02439683653246464	0.5572246176323391	
ANXA2P2	0.10957677680516512	0.15713352410353632	
Wdr76	0.7185423147431333	0.000004773782761918788	
Arhgap31	-0.5086592442220585	0.000003143349235344043	
Dpy19l1	0.9603920225261905	0.0101090327002914	
Itih4	0.11383962182481924	0.3204313527916839	
Sertad4	-0.165106855969811	0.2774857695415808	
Thada	0.237253443339685	0.00003872424629943935	
Ptprs	-0.4685488071907063	0.002831391673445949	
Usp36	0.4117365052781619	0.005885472794083628	
Cisd3	-0.5291126400930264	0.0000027816027192678627	
Mms22l	-0.06661580262966045	0.2948185701866185	
Kif16b	0.23494894335642133	0.0025251417894538806	
Uprt	-0.02402651289784018	0.7874387412710705	
Zcchc7	0.556111968866818	0.00003113366562577328	
Akirin2	-0.16352425728881267	0.2580846994167829	
Tomm5	0.04110056437185743	0.8126777360575506	
Nfx1	0.11165245948959157	0.17187097335620502	
Usp24	-0.014351622944155413	0.6995539188457255	
Tmem245	-0.22921004448935203	0.49433221548089634	
Thoc2	0.30281460645700853	0.22505729422451218	
Dlgap4	-1.0985604395752293	0.00004998227219092633	
Cad	0.31091345305430546	0.00534414934550433	
Arhgap42	0.04430376674478972	0.6775688734131287	
Ythdc2	0.6001991439730717	0.0008929635657154724	
Otud4	0.4780271612864213	0.07939615664886439	
Rrn3	-0.05517787797769	0.5574614247401992	
Otud7b	-0.19403707004180834	0.0009511490498702212	
Zcchc24	0.06324137259071365	0.4934734001238092	
Ep300	0.344250892785041	0.002347330285677675	
Zcchc11	0.5916178041698191	0.00020168348661168275	
Cspp1	0.28825543953683386	0.023159582514231333	
Trappc11	-0.1603721646471915	0.04518656840882629	
Ankrd44	0.04377534047751695	0.8720130205101233	
Plxnb2	0.08099586728721327	0.014922889356199674	
Dock5	0.03578185334706902	0.7446557181641177	
Rbm25	0.006134968387076085	0.901563696106025	
Xpnpep3	0.08036680435585891	0.3672061388149626	
Kif7	-0.11272870065941941	0.02538926203083798	
Qtrtd1	0.4132129793654889	0.0001134044576676297	
Tmf1	-0.42556257853425655	0.00001532828900805674	
